Valor,Tiempo
10,0.000210
100,0.001656
500,0.139789
1000,1.106322
1500,3.770454
2000,9.750737
2500,27.875295
3000,49.158987
3500,86.947630
4000,132.408076
4500,199.357652
6000,499.293565
7000,808.004344
7500,1007.659253
8000,1221.823915
10,0.000227
100,0.001835
500,0.140146
1000,1.116567
1500,3.812441
2000,9.785060
2500,27.763601
3000,48.994318
3500,87.865186
4000,132.066079
4500,200.640748
6000,502.358392
7000,810.555998
7500,1019.564150
8000,1223.914862
10,0.000132
100,0.002484
500,0.142352
1000,1.132109
1500,3.805109
2000,9.838281
2500,28.026272
3000,49.220026
3500,86.919793
4000,132.597908
4500,199.555899
6000,502.656133
7000,811.390676
7500,1010.398401
8000,1220.300477
